,BTCUSDT,ETHUSDT,XRPUSDT,DOGEUSDT,SOLUSDT
2024-02-14 21:00:00+00:00,40.89798315832848,20.463843924680184,29.816738889377135,25.98228940397973,21.304315582323756
2024-02-14 22:00:00+00:00,40.89798315832848,20.463843924680184,29.816738889377135,25.98228940397973,21.304315582323756
2024-02-14 23:00:00+00:00,40.89798315832848,20.463843924680184,29.816738889377135,25.98228940397973,21.304315582323756
2024-02-15 00:00:00+00:00,40.89798315832848,20.463843924680184,29.816738889377135,25.98228940397973,21.304315582323756
2024-02-15 01:00:00+00:00,40.89798315832848,20.463843924680184,29.816738889377135,25.98228940397973,21.304315582323756
2024-02-15 02:00:00+00:00,40.89798315832848,20.463843924680184,29.816738889377135,25.98228940397973,21.304315582323756
2024-02-15 03:00:00+00:00,40.855254474344825,20.463843924680184,29.816738889377135,25.98228940397973,21.304315582323756
2024-02-15 04:00:00+00:00,41.04347095099826,20.463843924680184,29.816738889377135,25.98228940397973,21.304315582323756
2024-02-15 05:00:00+00:00,40.94910548593656,20.463843924680184,29.816738889377135,25.98228940397973,21.304315582323756
2024-02-15 06:00:00+00:00,40.71177095179384,20.463843924680184,29.816738889377135,25.98228940397973,21.304315582323756
2024-02-15 07:00:00+00:00,41.04312798201829,20.463843924680184,29.816738889377135,25.98228940397973,21.304315582323756
2024-02-15 08:00:00+00:00,40.57326047945249,20.463843924680184,29.816738889377135,25.98228940397973,21.304315582323756
2024-02-15 09:00:00+00:00,40.459141160494525,20.463843924680184,29.816738889377135,25.98228940397973,21.304315582323756
2024-02-15 10:00:00+00:00,40.459141160494525,20.463843924680184,29.816738889377135,25.98228940397973,21.304315582323756
2024-02-15 11:00:00+00:00,40.459141160494525,20.463843924680184,29.816738889377135,25.98228940397973,21.304315582323756
2024-02-15 12:00:00+00:00,40.459141160494525,20.463843924680184,29.816738889377135,25.98228940397973,21.304315582323756
2024-02-15 13:00:00+00:00,40.459141160494525,20.463843924680184,29.816738889377135,25.98228940397973,21.304315582323756
2024-02-15 14:00:00+00:00,40.459141160494525,20.463843924680184,29.816738889377135,25.98228940397973,21.304315582323756
2024-02-15 15:00:00+00:00,40.459141160494525,20.463843924680184,29.816738889377135,25.98228940397973,21.304315582323756
2024-02-15 16:00:00+00:00,40.459141160494525,20.463843924680184,29.816738889377135,25.98228940397973,21.304315582323756
2024-02-15 17:00:00+00:00,40.459141160494525,20.463843924680184,29.816738889377135,25.98228940397973,21.304315582323756
2024-02-15 18:00:00+00:00,40.459141160494525,20.463843924680184,29.816738889377135,25.98228940397973,21.304315582323756
2024-02-15 19:00:00+00:00,40.459141160494525,20.463843924680184,29.816738889377135,25.98228940397973,21.304315582323756
2024-02-15 20:00:00+00:00,40.459141160494525,20.463843924680184,29.816738889377135,25.98228940397973,21.304315582323756
2024-02-15 21:00:00+00:00,40.459141160494525,20.463843924680184,29.816738889377135,25.98228940397973,21.304315582323756
2024-02-15 22:00:00+00:00,40.459141160494525,20.463843924680184,29.816738889377135,25.98228940397973,21.304315582323756
2024-02-15 23:00:00+00:00,40.459141160494525,20.463843924680184,29.816738889377135,25.98228940397973,21.304315582323756
2024-02-16 00:00:00+00:00,40.459141160494525,20.463843924680184,29.816738889377135,25.98228940397973,21.304315582323756
2024-02-16 01:00:00+00:00,40.459141160494525,20.463843924680184,29.816738889377135,25.98228940397973,21.304315582323756
2024-02-16 02:00:00+00:00,40.459141160494525,20.463843924680184,29.816738889377135,25.98228940397973,21.304315582323756
2024-02-16 03:00:00+00:00,40.459141160494525,20.463843924680184,29.816738889377135,25.98228940397973,21.304315582323756
2024-02-16 04:00:00+00:00,40.459141160494525,20.463843924680184,29.816738889377135,25.98228940397973,21.304315582323756
2024-02-16 05:00:00+00:00,40.459141160494525,20.463843924680184,29.816738889377135,25.98228940397973,21.304315582323756
2024-02-16 06:00:00+00:00,40.459141160494525,20.463843924680184,29.816738889377135,25.98228940397973,21.304315582323756
2024-02-16 07:00:00+00:00,40.459141160494525,20.463843924680184,29.816738889377135,25.98228940397973,21.282057629786557
2024-02-16 08:00:00+00:00,40.459141160494525,20.463843924680184,29.816738889377135,25.98228940397973,21.13494079397371
2024-02-16 09:00:00+00:00,40.459141160494525,20.463843924680184,29.816738889377135,25.98228940397973,21.369364602199976
2024-02-16 10:00:00+00:00,40.459141160494525,20.463843924680184,29.816738889377135,25.98228940397973,21.49308822385993
2024-02-16 11:00:00+00:00,40.459141160494525,20.463843924680184,29.816738889377135,25.98228940397973,21.218917977179103
2024-02-16 12:00:00+00:00,40.459141160494525,20.463843924680184,29.816738889377135,25.98228940397973,21.213624161972145
2024-02-16 13:00:00+00:00,40.459141160494525,20.463843924680184,29.816738889377135,25.98228940397973,21.272331091164993
2024-02-16 14:00:00+00:00,40.459141160494525,20.463843924680184,29.816738889377135,25.98228940397973,21.26991518438825
2024-02-16 15:00:00+00:00,40.459141160494525,20.463843924680184,29.816738889377135,25.98228940397973,21.26991518438825
2024-02-16 16:00:00+00:00,40.459141160494525,20.463843924680184,29.816738889377135,25.98228940397973,21.26991518438825
2024-02-16 17:00:00+00:00,40.459141160494525,20.463843924680184,29.816738889377135,25.98228940397973,21.26991518438825
2024-02-16 18:00:00+00:00,40.459141160494525,20.463843924680184,29.816738889377135,25.98228940397973,21.26991518438825
2024-02-16 19:00:00+00:00,40.459141160494525,20.463843924680184,29.816738889377135,25.98228940397973,21.26991518438825
2024-02-16 20:00:00+00:00,40.459141160494525,20.463843924680184,29.816738889377135,25.98228940397973,21.26991518438825
2024-02-16 21:00:00+00:00,40.459141160494525,20.463843924680184,29.816738889377135,25.98228940397973,21.26991518438825
2024-02-16 22:00:00+00:00,40.459141160494525,20.463843924680184,29.816738889377135,25.98228940397973,21.26991518438825
2024-02-16 23:00:00+00:00,40.459141160494525,20.463843924680184,29.816738889377135,25.98228940397973,21.26991518438825
2024-02-17 00:00:00+00:00,40.459141160494525,20.463843924680184,29.816738889377135,25.98228940397973,21.26991518438825
2024-02-17 01:00:00+00:00,40.459141160494525,20.463843924680184,29.816738889377135,25.98228940397973,21.26991518438825
2024-02-17 02:00:00+00:00,40.459141160494525,20.463843924680184,29.816738889377135,25.98228940397973,21.26991518438825
2024-02-17 03:00:00+00:00,40.459141160494525,20.463843924680184,29.816738889377135,25.98228940397973,21.26991518438825
2024-02-17 04:00:00+00:00,40.459141160494525,20.463843924680184,29.816738889377135,25.98228940397973,21.26991518438825
2024-02-17 05:00:00+00:00,40.459141160494525,20.463843924680184,29.816738889377135,25.98228940397973,21.26991518438825
2024-02-17 06:00:00+00:00,40.459141160494525,20.463843924680184,29.816738889377135,25.98228940397973,21.26991518438825
2024-02-17 07:00:00+00:00,40.459141160494525,20.463843924680184,29.816738889377135,25.98228940397973,21.26991518438825
2024-02-17 08:00:00+00:00,40.459141160494525,20.463843924680184,29.816738889377135,25.98228940397973,21.26991518438825
2024-02-17 09:00:00+00:00,40.459141160494525,20.463843924680184,29.816738889377135,25.98228940397973,21.26991518438825
2024-02-17 10:00:00+00:00,40.459141160494525,20.463843924680184,29.816738889377135,25.98228940397973,21.26991518438825
2024-02-17 11:00:00+00:00,40.459141160494525,20.463843924680184,29.816738889377135,25.98228940397973,21.26991518438825
2024-02-17 12:00:00+00:00,40.459141160494525,20.463843924680184,29.816738889377135,25.98228940397973,21.26991518438825
2024-02-17 13:00:00+00:00,40.459141160494525,20.463843924680184,29.816738889377135,25.98228940397973,21.26991518438825
2024-02-17 14:00:00+00:00,40.459141160494525,20.463843924680184,29.816738889377135,25.98228940397973,21.26991518438825
2024-02-17 15:00:00+00:00,40.459141160494525,20.463843924680184,29.816738889377135,25.98228940397973,21.26991518438825
2024-02-17 16:00:00+00:00,40.459141160494525,20.463843924680184,29.816738889377135,25.98228940397973,21.26991518438825
2024-02-17 17:00:00+00:00,40.459141160494525,20.463843924680184,29.816738889377135,25.98228940397973,21.26991518438825
2024-02-17 18:00:00+00:00,40.459141160494525,20.463843924680184,29.816738889377135,25.98228940397973,21.26991518438825
2024-02-17 19:00:00+00:00,40.459141160494525,20.463843924680184,29.816738889377135,25.98228940397973,21.26991518438825
2024-02-17 20:00:00+00:00,40.459141160494525,20.463843924680184,29.816738889377135,25.98228940397973,21.26991518438825
2024-02-17 21:00:00+00:00,40.459141160494525,20.463843924680184,29.816738889377135,25.98228940397973,21.26991518438825
2024-02-17 22:00:00+00:00,40.459141160494525,20.463843924680184,29.816738889377135,25.98228940397973,21.26991518438825
2024-02-17 23:00:00+00:00,40.459141160494525,20.463843924680184,29.816738889377135,25.98228940397973,21.26991518438825
2024-02-18 00:00:00+00:00,40.459141160494525,20.463843924680184,29.816738889377135,25.98228940397973,21.26991518438825
2024-02-18 01:00:00+00:00,40.459141160494525,20.463843924680184,29.816738889377135,25.98228940397973,21.26991518438825
2024-02-18 02:00:00+00:00,40.459141160494525,20.463843924680184,29.816738889377135,25.98228940397973,21.26991518438825
2024-02-18 03:00:00+00:00,40.459141160494525,20.463843924680184,29.816738889377135,25.98228940397973,21.26991518438825
